"leave_id";"employee_id";"leave_type_clean";"start_date";"end_date";"leave_days_clean";"leave_status_clean"
751;61;"Sick Leave";"2025-02-10";"2025-08-23";2;"Pending"
753;63;"Sick Leave";"2025-04-06";"2025-12-20";1;"Approved"
754;63;"Casual Leave";"2025-01-07";"2025-07-09";5;"Rejected"
758;75;"Casual Leave";"2025-11-19";"2026-06-25";3;"Rejected"
759;100;"Casual Leave";"2026-02-20";"2026-05-11";5;"Pending"
760;113;"Casual Leave";"2025-06-04";"2026-05-31";2;"Approved"
761;113;"Sick Leave";"2025-01-07";"2025-01-07";4;"Rejected"
764;176;"Earned Leave";"2025-01-28";"2026-07-18";5;"Pending"
767;187;"Casual Leave";"2025-07-28";"2026-07-03";3;"Approved"
769;195;"Casual Leave";"2025-11-13";"2026-03-25";2;"Pending"
771;195;"Sick Leave";"2025-10-05";"2026-03-21";4;"Approved"
772;211;"Sick Leave";"2026-07-29";"2026-08-05";2;"Approved"
774;211;"Sick Leave";"2025-07-20";"2025-12-29";2;"Rejected"
775;221;"Casual Leave";"2025-04-24";"2026-07-11";4;"Rejected"
776;221;"Earned Leave";"2025-11-01";"2026-05-05";4;"Pending"
778;223;"Sick Leave";"2025-03-29";"2025-08-07";5;"Rejected"
779;232;"Casual Leave";"2025-06-10";"2025-08-12";4;"Approved"
781;233;"Sick Leave";"2025-03-17";"2025-06-04";3;"Rejected"
784;304;"Sick Leave";"2025-04-11";"2025-07-08";5;"Rejected"
785;304;"Sick Leave";"2025-12-26";"2026-01-24";4;"Pending"
788;316;"Sick Leave";"2025-08-09";"2025-11-26";3;"Approved"
791;340;"Sick Leave";"2025-07-13";"2025-09-02";2;"Pending"
792;348;"Earned Leave";"2025-06-27";"2026-05-08";2;"Rejected"
793;348;"Sick Leave";"2026-04-08";"2026-05-24";1;"Approved"
794;349;"Earned Leave";"2026-01-14";"2026-04-09";1;"Pending"
795;349;"Earned Leave";"2025-06-24";"2026-06-02";2;"Approved"
796;349;"Sick Leave";"2025-10-09";"2026-07-04";1;"Approved"
797;356;"Casual Leave";"2026-02-15";"2026-02-27";2;"Pending"
799;365;"Casual Leave";"2025-08-16";"2026-05-01";1;"Approved"
800;399;"Casual Leave";"2025-02-02";"2026-06-05";5;"Pending"
803;415;"Casual Leave";"2025-05-09";"2025-05-25";2;"Pending"
805;417;"Sick Leave";"2025-03-01";"2025-05-11";3;"Approved"
807;435;"Casual Leave";"2025-04-18";"2025-06-07";3;"Rejected"
809;435;"Earned Leave";"2026-06-05";"2026-06-28";1;"Approved"
810;468;"Casual Leave";"2026-03-06";"2026-03-06";2;"Approved"
811;474;"Earned Leave";"2025-05-25";"2025-09-04";5;"Pending"
813;476;"Casual Leave";"2025-05-05";"2026-06-21";4;"Approved"
815;483;"Sick Leave";"2025-12-11";"2026-06-16";5;"Rejected"
816;483;"Casual Leave";"2025-02-15";"2026-03-17";3;"Approved"
818;491;"Casual Leave";"2025-03-02";"2026-03-14";3;"Pending"
819;491;"Sick Leave";"2025-02-10";"2025-06-16";5;"Approved"
823;31;"Earned Leave";"2026-02-05";"2026-03-03";1;"Rejected"
824;31;"Sick Leave";"2025-11-28";"2025-12-18";1;"Pending"
825;35;"Earned Leave";"2025-05-08";"2026-04-05";4;"Pending"
826;35;"Casual Leave";"2025-06-29";"2026-02-21";5;"Rejected"
832;89;"Earned Leave";"2025-01-06";"2026-05-18";5;"Approved"
834;97;"Earned Leave";"2025-06-30";"2026-06-05";1;"Approved"
835;104;"Casual Leave";"2025-06-01";"2025-06-19";4;"Approved"
838;140;"Casual Leave";"2025-07-27";"2026-06-30";1;"Rejected"
839;140;"Casual Leave";"2025-11-17";"2026-03-30";3;"Rejected"
842;151;"Casual Leave";"2025-06-16";"2025-07-18";1;"Pending"
844;189;"Earned Leave";"2025-06-14";"2026-08-08";3;"Approved"
845;189;"Sick Leave";"2025-05-09";"2026-07-13";4;"Approved"
847;191;"Casual Leave";"2025-10-09";"2026-04-19";4;"Approved"
849;192;"Earned Leave";"2026-01-26";"2026-06-22";4;"Approved"
850;214;"Earned Leave";"2025-03-31";"2025-04-14";2;"Approved"
851;214;"Casual Leave";"2025-04-23";"2025-05-01";3;"Pending"
853;219;"Sick Leave";"2025-10-26";"2026-01-22";5;"Approved"
854;236;"Casual Leave";"2026-01-24";"2026-04-08";5;"Approved"
855;236;"Casual Leave";"2025-11-25";"2026-07-17";5;"Approved"
860;338;"Casual Leave";"2025-05-09";"2025-11-22";2;"Rejected"
866;389;"Sick Leave";"2025-11-22";"2026-01-07";4;"Pending"
867;391;"Sick Leave";"2025-02-21";"2025-05-12";3;"Approved"
868;403;"Casual Leave";"2025-05-30";"2026-01-05";5;"Approved"
871;456;"Sick Leave";"2025-07-18";"2025-09-09";5;"Approved"
873;529;"Earned Leave";"2025-09-11";"2026-06-07";5;"Rejected"
